Time,Mid,CashBuy,SpotBuy,Sell,UpsAndDowns,UpsDownsRate
2012-01-03,630.09,622.39,627.42,629.93,0, 0.0000%
2012-01-04,630.01,622.98,628.02,630.53,-0.08,-0.0127%
2012-01-05,631.15,623.75,628.79,631.31,1.14, 0.1809%
2012-01-06,631.66,624.17,629.21,631.74,0.51, 0.0808%
2012-01-09,632.36,624.86,629.91,632.44,0.7, 0.1108%
2012-01-10,631.71,624.76,629.81,632.34,-0.65,-0.1028%
2012-01-11,631.55,625.26,630.31,632.84,-0.16,-0.0253%
2012-01-12,632.3,625.36,630.41,632.94,0.75, 0.1188%
2012-01-13,632.01,624.07,629.11,631.63,-0.29,-0.0459%
2012-01-16,633.06,624.76,629.81,632.34,1.05, 0.1661%
2012-01-17,632.5,624.71,629.76,632.29,-0.56,-0.0885%
2012-01-18,632.05,624.76,629.81,632.34,-0.45,-0.0711%
2012-01-19,631.73,625.16,630.21,632.74,-0.32,-0.0506%
2012-01-20,631.38,625.55,630.61,633.14,-0.35,-0.0554%
2012-01-23,631.38,625.55,630.61,633.14,0, 0.0000%
2012-01-24,631.38,625.55,630.61,633.14,0, 0.0000%
2012-01-25,631.38,625.55,630.61,633.14,0, 0.0000%
2012-01-26,631.38,625.55,630.61,633.14,0, 0.0000%
2012-01-27,631.38,624.76,629.81,632.34,0, 0.0000%
2012-01-30,630.56,626.54,631.61,634.14,-0.82,-0.1299%
2012-01-31,631.15,624.37,629.41,631.94,0.59, 0.0936%
2012-02-01,631.03,624.32,629.36,631.89,-0.12,-0.0190%
2012-02-02,630.75,623.48,628.51,631.03,-0.28,-0.0444%
2012-02-03,631.02,623.9,628.94,631.46,0.27, 0.0428%
2012-02-06,631.08,624.83,629.88,632.41,0.06, 0.0095%
2012-02-07,631.16,623.92,628.96,631.48,0.08, 0.0127%
2012-02-08,630.27,622.98,628.02,630.53,-0.89,-0.1410%
2012-02-09,630.09,622.98,628.02,630.53,-0.18,-0.0286%
2012-02-10,629.37,623.57,628.61,631.13,-0.72,-0.1143%
2012-02-13,629.39,623.28,628.31,630.83,0.02, 0.0032%
2012-02-14,629.47,623.67,628.71,631.23,0.08, 0.0127%
2012-02-15,629.58,623.52,628.56,631.08,0.11, 0.0175%
2012-02-16,629.91,623.84,628.88,631.4,0.33, 0.0524%
2012-02-17,629.51,623.38,628.41,630.93,-0.4,-0.0635%
2012-02-20,629.38,623.62,628.66,631.18,-0.13,-0.0207%
2012-02-21,629.6,623.08,628.12,630.63,0.22, 0.0350%
2012-02-22,629.88,623.18,628.21,630.73,0.28, 0.0445%
2012-02-23,630.31,623.47,628.5,631.02,0.43, 0.0683%
2012-02-24,629.65,623.23,628.26,630.78,-0.66,-0.1047%
2012-02-27,629.85,623.77,628.81,631.33,0.2, 0.0318%
2012-02-28,629.61,623.48,628.51,631.03,-0.24,-0.0381%
2012-02-29,629.19,623.05,628.09,630.6,-0.42,-0.0667%
2012-03-01,630.16,623.57,628.61,631.13,0.97, 0.1542%
2012-03-02,629.8,623.38,628.41,630.93,-0.36,-0.0571%
2012-03-05,631.21,624.27,629.31,631.84,1.41, 0.2239%
2012-03-06,631.41,624.32,629.36,631.89,0.2, 0.0317%
2012-03-07,632.13,624.53,629.58,632.11,0.72, 0.1140%
2012-03-08,632.35,625.11,630.16,632.69,0.22, 0.0348%
2012-03-09,630.73,624.76,629.81,632.34,-1.62,-0.2562%
2012-03-12,632.82,626.1,631.16,633.69,2.09, 0.3314%
2012-03-13,632.59,626.3,631.36,633.89,-0.23,-0.0363%
2012-03-14,633.28,626.79,631.86,634.39,0.69, 0.1091%
2012-03-15,633.59,626.54,631.61,634.14,0.31, 0.0490%
2012-03-16,632,625.85,630.91,633.44,-1.59,-0.2510%
2012-03-19,630.82,626.05,631.11,633.64,-1.18,-0.1867%
2012-03-20,630.29,626.1,631.16,633.69,-0.53,-0.0840%
2012-03-21,630.92,625.77,630.83,633.36,0.63, 0.1000%
2012-03-22,630.04,623.43,628.46,630.98,-0.88,-0.1395%
2012-03-23,628.91,623.97,629.01,631.53,-1.13,-0.1794%
2012-03-26,628.58,624.86,629.91,632.44,-0.33,-0.0525%
2012-03-27,628.4,624.07,629.11,631.63,-0.18,-0.0286%
2012-03-28,629.12,624.17,629.21,631.74,0.72, 0.1146%
2012-03-29,629.32,624.07,629.11,631.63,0.2, 0.0318%
2012-03-30,629.43,623.38,628.41,630.93,0.11, 0.0175%
2012-04-02,629.43,623.13,628.16,630.68,0, 0.0000%
2012-04-03,629.43,623.13,628.16,630.68,0, 0.0000%
2012-04-04,629.43,623.13,628.16,630.68,0, 0.0000%
2012-04-05,630.35,625.06,630.11,632.64,0.92, 0.1462%
2012-04-06,630.72,624.11,629.15,631.67,0.37, 0.0587%
2012-04-09,630.21,624.37,629.41,631.94,-0.51,-0.0809%
2012-04-10,630.48,624.56,629.61,632.14,0.27, 0.0428%
2012-04-11,630.18,624.37,629.41,631.94,-0.3,-0.0476%
2012-04-12,629.84,624.27,629.31,631.84,-0.34,-0.0540%
